64 8 0 4 49
2 10 1 5
150 10 0 6

0 4 18 19 26 27
1 4 50 51 58 59
2 4 27 28 35 36
3 4 9 10 17 18
4 4 6 7 14 15
5 4 32 33 40 41
6 4 1 2 9 10
7 4 46 47 54 55
8 9 11 12 13 19 20 21 27 28 29
9 9 17 18 19 25 26 27 33 34 35
10 6 5 6 7 13 14 15
11 9 28 29 30 36 37 38 44 45 46
12 4 0 1 8 9
13 4 1 2 9 10
14 4 2 3 10 11
15 4 3 4 11 12
16 4 4 5 12 13
17 4 5 6 13 14
18 4 6 7 14 15
19 4 8 9 16 17
20 4 9 10 17 18
21 4 10 11 18 19
22 4 11 12 19 20
23 4 12 13 20 21
24 4 13 14 21 22
25 4 14 15 22 23
26 4 16 17 24 25
27 4 17 18 25 26
28 4 18 19 26 27
29 4 19 20 27 28
30 4 20 21 28 29
31 4 21 22 29 30
32 4 22 23 30 31
33 4 24 25 32 33
34 4 25 26 33 34
35 4 26 27 34 35
36 4 27 28 35 36
37 4 28 29 36 37
38 4 29 30 37 38
39 4 30 31 38 39
40 4 32 33 40 41
41 4 33 34 41 42
42 4 34 35 42 43
43 4 35 36 43 44
44 4 36 37 44 45
45 4 37 38 45 46
46 4 38 39 46 47
47 4 40 41 48 49
48 4 41 42 49 50
49 4 42 43 50 51
50 4 43 44 51 52
51 4 44 45 52 53
52 4 45 46 53 54
53 4 46 47 54 55
54 4 48 49 56 57
55 4 49 50 57 58
56 4 50 51 58 59
57 4 51 52 59 60
58 4 52 53 60 61
59 4 53 54 61 62
60 4 54 55 62 63

99999 5.1 2.12 1.12 5.52 2.5 2.24 5.32 2.55 1.12 4.74 4.3 1.8 1.5 1.8 2.5 3.35 4.27 5.22 1.12 0.5 1.12 2.06 3.04 4.03 5.02 1.12 0.5 1.12 2.06 3.04 4.03 5.02 1.8 1.5 1.8 2.5 3.35 4.27 5.22 2.69 2.5 2.69 3.2 3.91 4.72 5.59 3.64 3.5 3.64 4.03 4.61 5.32 6.1 4.61 4.5 4.61 4.92 5.41 6.02 6.73 
5.1 99999 3.54 6.18 7.11 3.91 7.28 3.35 4.74 4.03 7.38 3.54 6.8 6.58 6.5 6.58 6.8 7.16 7.63 5.85 5.59 5.5 5.59 5.85 6.26 6.8 4.92 4.61 4.5 4.61 4.92 5.41 6.02 4.03 3.64 3.5 3.64 4.03 4.61 5.32 3.2 2.69 2.5 2.69 3.2 3.91 4.72 2.5 1.8 1.5 1.8 2.5 3.35 4.27 2.06 1.12 0.5 1.12 2.06 3.04 4.03 
2.12 3.54 99999 3.2 4.47 3.04 4.3 3.2 1.41 1.12 4.24 2.24 3.91 3.35 3.04 3.04 3.35 3.91 4.61 3.2 2.5 2.06 2.06 2.5 3.2 4.03 2.69 1.8 1.12 1.12 1.8 2.69 3.64 2.5 1.5 0.5 0.5 1.5 2.5 3.5 2.69 1.8 1.12 1.12 1.8 2.69 3.64 3.2 2.5 2.06 2.06 2.5 3.2 4.03 3.91 3.35 3.04 3.04 3.35 3.91 4.61 
1.12 6.18 3.2 99999 6.02 3.16 1.12 6.36 3.35 2.24 5.02 5.32 0.71 0.71 1.58 2.55 3.54 4.53 5.52 0.71 0.71 1.58 2.55 3.54 4.53 5.52 1.58 1.58 2.12 2.92 3.81 4.74 5.7 2.55 2.55 2.92 3.54 4.3 5.15 6.04 3.54 3.54 3.81 4.3 4.95 5.7 6.52 4.53 4.53 4.74 5.15 5.7 6.36 7.11 5.52 5.52 5.7 6.04 6.52 7.11 7.78 
5.52 7.11 4.47 6.02 99999 7.43 6.67 4.27 3.16 5.22 1.41 3.61 6.58 5.59 4.61 3.64 2.69 1.8 1.12 6.5 5.5 4.5 3.5 2.5 1.5 0.5 6.58 5.59 4.61 3.64 2.69 1.8 1.12 6.8 5.85 4.92 4.03 3.2 2.5 2.06 7.16 6.26 5.41 4.61 3.91 3.35 3.04 7.63 6.8 6.02 5.32 4.72 4.27 4.03 8.2 7.43 6.73 6.1 5.59 5.22 5.02 
2.5 3.91 3.04 3.16 7.43 99999 4.03 5.7 4.27 2.24 6.95 5.02 3.54 3.81 4.3 4.95 5.7 6.52 7.38 2.55 2.92 3.54 4.3 5.15 6.04 6.96 1.58 2.12 2.92 3.81 4.74 5.7 6.67 0.71 1.58 2.55 3.54 4.53 5.52 6.52 0.71 1.58 2.55 3.54 4.53 5.52 6.52 1.58 2.12 2.92 3.81 4.74 5.7 6.67 2.55 2.92 3.54 4.3 5.15 6.04 6.96 
2.24 7.28 4.3 1.12 6.67 4.03 99999 7.43 4.3 3.35 5.52 6.36 0.5 1.12 2.06 3.04 4.03 5.02 6.02 1.5 1.8 2.5 3.35 4.27 5.22 6.18 2.5 2.69 3.2 3.91 4.72 5.59 6.5 3.5 3.64 4.03 4.61 5.32 6.1 6.95 4.5 4.61 4.92 5.41 6.02 6.73 7.5 5.5 5.59 5.85 6.26 6.8 7.43 8.14 6.5 6.58 6.8 7.16 7.63 8.2 8.85 
5.32 3.35 3.2 6.36 4.27 5.7 7.43 99999 3.35 4.3 5.02 1.12 7.07 6.4 5.83 5.39 5.1 5.0 5.1 6.4 5.66 5.0 4.47 4.12 4.0 4.12 5.83 5.0 4.24 3.61 3.16 3.0 3.16 5.39 4.47 3.61 2.83 2.24 2.0 2.24 5.1 4.12 3.16 2.24 1.41 1.0 1.41 5.0 4.0 3.0 2.0 1.0 0.0 1.0 5.1 4.12 3.16 2.24 1.41 1.0 1.41 
2.55 4.74 1.41 3.35 3.16 4.27 4.3 3.35 99999 2.06 2.83 2.24 4.03 3.2 2.5 2.06 2.06 2.5 3.2 3.64 2.69 1.8 1.12 1.12 1.8 2.69 3.5 2.5 1.5 0.5 0.5 1.5 2.5 3.64 2.69 1.8 1.12 1.12 1.8 2.69 4.03 3.2 2.5 2.06 2.06 2.5 3.2 4.61 3.91 3.35 3.04 3.04 3.35 3.91 5.32 4.72 4.27 4.03 4.03 4.27 4.72 
1.12 4.03 1.12 2.24 5.22 2.24 3.35 4.3 2.06 99999 4.72 3.35 2.92 2.55 2.55 2.92 3.54 4.3 5.15 2.12 1.58 1.58 2.12 2.92 3.81 4.74 1.58 0.71 0.71 1.58 2.55 3.54 4.53 1.58 0.71 0.71 1.58 2.55 3.54 4.53 2.12 1.58 1.58 2.12 2.92 3.81 4.74 2.92 2.55 2.55 2.92 3.54 4.3 5.15 3.81 3.54 3.54 3.81 4.3 4.95 5.7 
4.74 7.38 4.24 5.02 1.41 6.95 5.52 5.02 2.83 4.72 99999 4.12 5.5 4.5 3.5 2.5 1.5 0.5 0.5 5.59 4.61 3.64 2.69 1.8 1.12 1.12 5.85 4.92 4.03 3.2 2.5 2.06 2.06 6.26 5.41 4.61 3.91 3.35 3.04 3.04 6.8 6.02 5.32 4.72 4.27 4.03 4.03 7.43 6.73 6.1 5.59 5.22 5.02 5.02 8.14 7.5 6.95 6.5 6.18 6.02 6.02 
4.3 3.54 2.24 5.32 3.61 5.02 6.36 1.12 2.24 3.35 4.12 99999 6.02 5.32 4.72 4.27 4.03 4.03 4.27 5.41 4.61 3.91 3.35 3.04 3.04 3.35 4.92 4.03 3.2 2.5 2.06 2.06 2.5 4.61 3.64 2.69 1.8 1.12 1.12 1.8 4.5 3.5 2.5 1.5 0.5 0.5 1.5 4.61 3.64 2.69 1.8 1.12 1.12 1.8 4.92 4.03 3.2 2.5 2.06 2.06 2.5 
1.8 6.8 3.91 0.71 6.58 3.54 0.5 7.07 4.03 2.92 5.5 6.02 99999 1.0 2.0 3.0 4.0 5.0 6.0 1.0 1.41 2.24 3.16 4.12 5.1 6.08 2.0 2.24 2.83 3.61 4.47 5.39 6.32 3.0 3.16 3.61 4.24 5.0 5.83 6.71 4.0 4.12 4.47 5.0 5.66 6.4 7.21 5.0 5.1 5.39 5.83 6.4 7.07 7.81 6.0 6.08 6.32 6.71 7.21 7.81 8.49 
1.5 6.58 3.35 0.71 5.59 3.81 1.12 6.4 3.2 2.55 4.5 5.32 1.0 99999 1.0 2.0 3.0 4.0 5.0 1.41 1.0 1.41 2.24 3.16 4.12 5.1 2.24 2.0 2.24 2.83 3.61 4.47 5.39 3.16 3.0 3.16 3.61 4.24 5.0 5.83 4.12 4.0 4.12 4.47 5.0 5.66 6.4 5.1 5.0 5.1 5.39 5.83 6.4 7.07 6.08 6.0 6.08 6.32 6.71 7.21 7.81 
1.8 6.5 3.04 1.58 4.61 4.3 2.06 5.83 2.5 2.55 3.5 4.72 2.0 1.0 99999 1.0 2.0 3.0 4.0 2.24 1.41 1.0 1.41 2.24 3.16 4.12 2.83 2.24 2.0 2.24 2.83 3.61 4.47 3.61 3.16 3.0 3.16 3.61 4.24 5.0 4.47 4.12 4.0 4.12 4.47 5.0 5.66 5.39 5.1 5.0 5.1 5.39 5.83 6.4 6.32 6.08 6.0 6.08 6.32 6.71 7.21 
