60 1 1 3 45
2 20 1 5
150 20 0 6

0 6 4 5 10 11 16 17 
1 9 21 22 23 27 28 29 33 34 35 
2 6 18 19 24 25 30 31 
3 9 37 38 39 43 44 45 49 50 51 
4 9 44 45 46 50 51 52 56 57 58 
5 4 0 1 6 7 
6 4 1 2 7 8 
7 4 2 3 8 9 
8 4 3 4 9 10 
9 4 4 5 10 11 
10 4 6 7 12 13 
11 4 7 8 13 14 
12 4 8 9 14 15 
13 4 9 10 15 16 
14 4 10 11 16 17 
15 4 12 13 18 19 
16 4 13 14 19 20 
17 4 14 15 20 21 
18 4 15 16 21 22 
19 4 16 17 22 23 
20 4 18 19 24 25 
21 4 19 20 25 26 
22 4 20 21 26 27 
23 4 21 22 27 28 
24 4 22 23 28 29 
25 4 24 25 30 31 
26 4 25 26 31 32 
27 4 26 27 32 33 
28 4 27 28 33 34 
29 4 28 29 34 35 
30 4 30 31 36 37 
31 4 31 32 37 38 
32 4 32 33 38 39 
33 4 33 34 39 40 
34 4 34 35 40 41 
35 4 36 37 42 43 
36 4 37 38 43 44 
37 4 38 39 44 45 
38 4 39 40 45 46 
39 4 40 41 46 47 
40 4 42 43 48 49 
41 4 43 44 49 50 
42 4 44 45 50 51 
43 4 45 46 51 52 
44 4 46 47 52 53 
45 4 48 49 54 55 
46 4 49 50 55 56 
47 4 50 51 56 57 
48 4 51 52 57 58 
49 4 52 53 58 59 

99999 5.83 3.16 6.71 7.28 4.53 3.54 2.55 1.58 0.71 4.53 3.54 2.55 1.58 0.71 4.74 3.81 2.92 2.12 1.58 5.15 4.3 3.54 2.92 2.55 5.7 4.95 4.3 3.81 3.54 6.36 5.7 5.15 4.74 4.53 7.11 6.52 6.04 5.7 5.52 7.91 7.38 6.96 6.67 6.52 8.75 8.28 7.91 7.65 7.52 
5.83 99999 4 3.61 5 3.54 3.81 4.3 4.95 5.7 2.55 2.92 3.54 4.3 5.15 1.58 2.12 2.92 3.81 4.74 0.71 1.58 2.55 3.54 4.53 0.71 1.58 2.55 3.54 4.53 1.58 2.12 2.92 3.81 4.74 2.55 2.92 3.54 4.3 5.15 3.54 3.81 4.3 4.95 5.7 4.53 4.74 5.15 5.7 6.36 
3.16 4 99999 3.61 4.12 4.95 4.3 3.81 3.54 3.54 4.3 3.54 2.92 2.55 2.55 3.81 2.92 2.12 1.58 1.58 3.54 2.55 1.58 0.71 0.71 3.54 2.55 1.58 0.71 0.71 3.81 2.92 2.12 1.58 1.58 4.3 3.54 2.92 2.55 2.55 4.95 4.3 3.81 3.54 3.54 5.7 5.15 4.74 4.53 4.53 
6.71 3.61 3.61 99999 1.41 6.67 6.52 6.52 6.67 6.96 5.7 5.52 5.52 5.7 6.04 4.74 4.53 4.53 4.74 5.15 3.81 3.54 3.54 3.81 4.3 2.92 2.55 2.55 2.92 3.54 2.12 1.58 1.58 2.12 2.92 1.58 0.71 0.71 1.58 2.55 1.58 0.71 0.71 1.58 2.55 2.12 1.58 1.58 2.12 2.92 
7.28 5 4.12 1.41 99999 7.91 7.65 7.52 7.52 7.65 6.96 6.67 6.52 6.52 6.67 6.04 5.7 5.52 5.52 5.7 5.15 4.74 4.53 4.53 4.74 4.3 3.81 3.54 3.54 3.81 3.54 2.92 2.55 2.55 2.92 2.92 2.12 1.58 1.58 2.12 2.55 1.58 0.71 0.71 1.58 2.55 1.58 0.71 0.71 1.58 
4.53 3.54 4.95 6.67 7.91 99999 1 2 3 4 1 1.41 2.24 3.16 4.12 2 2.24 2.83 3.61 4.47 3 3.16 3.61 4.24 5 4 4.12 4.47 5 5.66 5 5.1 5.39 5.83 6.4 6 6.08 6.32 6.71 7.21 7 7.07 7.28 7.62 8.06 8 8.06 8.25 8.54 8.94 
3.54 3.81 4.3 6.52 7.65 1 99999 1 2 3 1.41 1 1.41 2.24 3.16 2.24 2 2.24 2.83 3.61 3.16 3 3.16 3.61 4.24 4.12 4 4.12 4.47 5 5.1 5 5.1 5.39 5.83 6.08 6 6.08 6.32 6.71 7.07 7 7.07 7.28 7.62 8.06 8 8.06 8.25 8.54 
2.55 4.3 3.81 6.52 7.52 2 1 99999 1 2 2.24 1.41 1 1.41 2.24 2.83 2.24 2 2.24 2.83 3.61 3.16 3 3.16 3.61 4.47 4.12 4 4.12 4.47 5.39 5.1 5 5.1 5.39 6.32 6.08 6 6.08 6.32 7.28 7.07 7 7.07 7.28 8.25 8.06 8 8.06 8.25 
1.58 4.95 3.54 6.67 7.52 3 2 1 99999 1 3.16 2.24 1.41 1 1.41 3.61 2.83 2.24 2 2.24 4.24 3.61 3.16 3 3.16 5 4.47 4.12 4 4.12 5.83 5.39 5.1 5 5.1 6.71 6.32 6.08 6 6.08 7.62 7.28 7.07 7 7.07 8.54 8.25 8.06 8 8.06 
0.71 5.7 3.54 6.96 7.65 4 3 2 1 99999 4.12 3.16 2.24 1.41 1 4.47 3.61 2.83 2.24 2 5 4.24 3.61 3.16 3 5.66 5 4.47 4.12 4 6.4 5.83 5.39 5.1 5 7.21 6.71 6.32 6.08 6 8.06 7.62 7.28 7.07 7 8.94 8.54 8.25 8.06 8 
