49 4 1 4 36
2 10 1 5
150 10 0 6

0 4 17 18 24 25
1 4 29 30 36 37
2 4 37 38 44 45
3 4 35 36 42 43
4 9 14 15 16 21 22 23 28 29 30
5 6 3 4 5 10 11 12
6 6 5 6 12 13 19 20
7 9 1 2 3 8 9 10 15 16 17
8 9 11 12 13 18 19 20 25 26 27
9 4 0 1 7 8
10 4 1 2 8 9
11 4 2 3 9 10
12 4 3 4 10 11
13 4 4 5 11 12
14 4 5 6 12 13
15 4 7 8 14 15
16 4 8 9 15 16
17 4 9 10 16 17
18 4 10 11 17 18
19 4 11 12 18 19
20 4 12 13 19 20
21 4 14 15 21 22
22 4 15 16 22 23
23 4 16 17 23 24
24 4 17 18 24 25
25 4 18 19 25 26
26 4 19 20 26 27
27 4 21 22 28 29
28 4 22 23 29 30
29 4 23 24 30 31
30 4 24 25 31 32
31 4 25 26 32 33
32 4 26 27 33 34
33 4 28 29 35 36
34 4 29 30 36 37
35 4 30 31 37 38
36 4 31 32 38 39
37 4 32 33 39 40
38 4 33 34 40 41
39 4 35 36 42 43
40 4 36 37 43 44
41 4 37 38 44 45
42 4 38 39 45 46
43 4 39 40 46 47
44 4 40 41 47 48

99999 3.89 5.37 5.73 2.98 3.33 4.22 0.94 2.75 3.33 2.4 2.0 2.4 3.33 4.47 2.75 1.49 0.67 1.49 2.75 4.06 2.75 1.49 0.67 1.49 2.75 4.06 3.33 2.4 2.0 2.4 3.33 4.47 4.27 3.59 3.33 3.59 4.27 5.21 5.37 4.85 4.67 4.85 5.37 6.15 
3.89 99999 3.33 1.89 2.11 7.21 7.6 4.22 5.37 5.37 5.37 5.7 6.29 7.09 8.03 4.06 4.06 4.47 5.21 6.15 7.21 2.75 2.75 3.33 4.27 5.37 6.57 1.49 1.49 2.4 3.59 4.85 6.15 0.67 0.67 2.0 3.33 4.67 6.0 1.49 1.49 2.4 3.59 4.85 6.15 
5.37 3.33 99999 4.06 5.21 8.11 7.45 6.15 5.08 8.06 7.6 7.36 7.36 7.6 8.06 6.86 6.32 6.04 6.04 6.32 6.86 5.73 5.08 4.71 4.71 5.08 5.73 4.71 3.89 3.4 3.4 3.89 4.71 3.89 2.83 2.11 2.11 2.83 3.89 3.4 2.11 0.94 0.94 2.11 3.4 
5.73 1.89 4.06 99999 3.4 9.07 9.48 5.96 7.21 6.7 6.96 7.45 8.14 8.97 9.91 5.37 5.7 6.29 7.09 8.03 9.07 4.06 4.47 5.21 6.15 7.21 8.35 2.75 3.33 4.27 5.37 6.57 7.8 1.49 2.4 3.59 4.85 6.15 7.45 0.67 2.0 3.33 4.67 6.0 7.33 
2.98 2.11 5.21 3.4 99999 6.15 7.18 2.83 5.37 3.33 3.59 4.27 5.21 6.29 7.45 2.0 2.4 3.33 4.47 5.7 6.96 0.67 1.49 2.75 4.06 5.37 6.7 0.67 1.49 2.75 4.06 5.37 6.7 2.0 2.4 3.33 4.47 5.7 6.96 3.33 3.59 4.27 5.21 6.29 7.45 
3.33 7.21 8.11 9.07 6.15 99999 2.4 3.33 3.4 4.71 3.4 2.11 0.94 0.94 2.11 5.08 3.89 2.83 2.11 2.11 2.83 5.73 4.71 3.89 3.4 3.4 3.89 6.6 5.73 5.08 4.71 4.71 5.08 7.6 6.86 6.32 6.04 6.04 6.32 8.69 8.06 7.6 7.36 7.36 7.6 
4.22 7.6 7.45 9.48 7.18 2.4 99999 4.71 2.4 6.7 5.37 4.06 2.75 1.49 0.67 6.7 5.37 4.06 2.75 1.49 0.67 6.96 5.7 4.47 3.33 2.4 2.0 7.45 6.29 5.21 4.27 3.59 3.33 8.14 7.09 6.15 5.37 4.85 4.67 8.97 8.03 7.21 6.57 6.15 6.0 
0.94 4.22 6.15 5.96 2.83 3.33 4.71 99999 3.59 2.4 1.49 1.49 2.4 3.59 4.85 2.0 0.67 0.67 2.0 3.33 4.67 2.4 1.49 1.49 2.4 3.59 4.85 3.33 2.75 2.75 3.33 4.27 5.37 4.47 4.06 4.06 4.47 5.21 6.15 5.7 5.37 5.37 5.7 6.29 7.09 
2.75 5.37 5.08 7.21 5.37 3.4 2.4 3.59 99999 5.96 4.81 3.77 2.98 2.67 2.98 5.5 4.22 2.98 1.89 1.33 1.89 5.33 4.0 2.67 1.33 0.0 1.33 5.5 4.22 2.98 1.89 1.33 1.89 5.96 4.81 3.77 2.98 2.67 2.98 6.67 5.66 4.81 4.22 4.0 4.22 
3.33 5.37 8.06 6.7 3.33 4.71 6.7 2.4 5.96 99999 1.33 2.67 4.0 5.33 6.67 1.33 1.89 2.98 4.22 5.5 6.8 2.67 2.98 3.77 4.81 5.96 7.18 4.0 4.22 4.81 5.66 6.67 7.77 5.33 5.5 5.96 6.67 7.54 8.54 6.67 6.8 7.18 7.77 8.54 9.43 
