36 2 1 2 25
2 15 1 5
150 10 0 6

0 4 27 28 33 34
1 4 24 25 30 31
2 9 8 9 10 14 15 16 20 21 22
3 9 12 13 14 18 19 20 24 25 26
4 6 4 5 10 11 16 17
5 4 0 1 6 7
6 4 1 2 7 8
7 4 2 3 8 9
8 4 3 4 9 10
9 4 4 5 10 11
10 4 6 7 12 13
11 4 7 8 13 14
12 4 8 9 14 15
13 4 9 10 15 16
14 4 10 11 16 17
15 4 12 13 18 19
16 4 13 14 19 20
17 4 14 15 20 21
18 4 15 16 21 22
19 4 16 17 22 23
20 4 18 19 24 25
21 4 19 20 25 26
22 4 20 21 26 27
23 4 21 22 27 28
24 4 22 23 28 29
25 4 24 25 30 31
26 4 25 26 31 32
27 4 26 27 32 33
28 4 27 28 33 34
29 4 28 29 34 35

99999 5.5 4.22 4.81 5.5 7.6 6.86 6.32 6.04 6.04 6.6 5.73 5.08 4.71 4.71 5.73 4.71 3.89 3.4 3.4 5.08 3.89 2.83 2.11 2.11 4.71 3.4 2.11 0.94 0.94 
5.5 99999 4.81 1.89 7.77 4.71 5.08 5.73 6.6 7.6 3.4 3.89 4.71 5.73 6.86 2.11 2.83 3.89 5.08 6.32 0.94 2.11 3.4 4.71 6.04 0.94 2.11 3.4 4.71 6.04 
4.22 4.81 99999 2.98 2.98 3.89 2.83 2.11 2.11 2.83 3.4 2.11 0.94 0.94 2.11 3.4 2.11 0.94 0.94 2.11 3.89 2.83 2.11 2.11 2.83 4.71 3.89 3.4 3.4 3.89 
4.81 1.89 2.98 99999 5.96 3.4 3.4 3.89 4.71 5.73 2.11 2.11 2.83 3.89 5.08 0.94 0.94 2.11 3.4 4.71 0.94 0.94 2.11 3.4 4.71 2.11 2.11 2.83 3.89 5.08 
5.5 7.77 2.98 5.96 99999 6.04 4.71 3.4 2.11 0.94 6.04 4.71 3.4 2.11 0.94 6.32 5.08 3.89 2.83 2.11 6.86 5.73 4.71 3.89 3.4 7.6 6.6 5.73 5.08 4.71 
7.6 4.71 3.89 3.4 6.04 99999 1.33 2.67 4.0 5.33 1.33 1.89 2.98 4.22 5.5 2.67 2.98 3.77 4.81 5.96 4.0 4.22 4.81 5.66 6.67 5.33 5.5 5.96 6.67 7.54 
6.86 5.08 2.83 3.4 4.71 1.33 99999 1.33 2.67 4.0 1.89 1.33 1.89 2.98 4.22 2.98 2.67 2.98 3.77 4.81 4.22 4.0 4.22 4.81 5.66 5.5 5.33 5.5 5.96 6.67 
6.32 5.73 2.11 3.89 3.4 2.67 1.33 99999 1.33 2.67 2.98 1.89 1.33 1.89 2.98 3.77 2.98 2.67 2.98 3.77 4.81 4.22 4.0 4.22 4.81 5.96 5.5 5.33 5.5 5.96 
6.04 6.6 2.11 4.71 2.11 4.0 2.67 1.33 99999 1.33 4.22 2.98 1.89 1.33 1.89 4.81 3.77 2.98 2.67 2.98 5.66 4.81 4.22 4.0 4.22 6.67 5.96 5.5 5.33 5.5 
6.04 7.6 2.83 5.73 0.94 5.33 4.0 2.67 1.33 99999 5.5 4.22 2.98 1.89 1.33 5.96 4.81 3.77 2.98 2.67 6.67 5.66 4.81 4.22 4.0 7.54 6.67 5.96 5.5 5.33 
6.6 3.4 3.4 2.11 6.04 1.33 1.89 2.98 4.22 5.5 99999 1.33 2.67 4.0 5.33 1.33 1.89 2.98 4.22 5.5 2.67 2.98 3.77 4.81 5.96 4.0 4.22 4.81 5.66 6.67 
5.73 3.89 2.11 2.11 4.71 1.89 1.33 1.89 2.98 4.22 1.33 99999 1.33 2.67 4.0 1.89 1.33 1.89 2.98 4.22 2.98 2.67 2.98 3.77 4.81 4.22 4.0 4.22 4.81 5.66 
5.08 4.71 0.94 2.83 3.4 2.98 1.89 1.33 1.89 2.98 2.67 1.33 99999 1.33 2.67 2.98 1.89 1.33 1.89 2.98 3.77 2.98 2.67 2.98 3.77 4.81 4.22 4.0 4.22 4.81 
4.71 5.73 0.94 3.89 2.11 4.22 2.98 1.89 1.33 1.89 4.0 2.67 1.33 99999 1.33 4.22 2.98 1.89 1.33 1.89 4.81 3.77 2.98 2.67 2.98 5.66 4.81 4.22 4.0 4.22 
4.71 6.86 2.11 5.08 0.94 5.5 4.22 2.98 1.89 1.33 5.33 4.0 2.67 1.33 99999 5.5 4.22 2.98 1.89 1.33 5.96 4.81 3.77 2.98 2.67 6.67 5.66 4.81 4.22 4.0 
5.73 2.11 3.4 0.94 6.32 2.67 2.98 3.77 4.81 5.96 1.33 1.89 2.98 4.22 5.5 99999 1.33 2.67 4.0 5.33 1.33 1.89 2.98 4.22 5.5 2.67 2.98 3.77 4.81 5.96 
4.71 2.83 2.11 0.94 5.08 2.98 2.67 2.98 3.77 4.81 1.89 1.33 1.89 2.98 4.22 1.33 99999 1.33 2.67 4.0 1.89 1.33 1.89 2.98 4.22 2.98 2.67 2.98 3.77 4.81 
3.89 3.89 0.94 2.11 3.89 3.77 2.98 2.67 2.98 3.77 2.98 1.89 1.33 1.89 2.98 2.67 1.33 99999 1.33 2.67 2.98 1.89 1.33 1.89 2.98 3.77 2.98 2.67 2.98 3.77 
3.4 5.08 0.94 3.4 2.83 4.81 3.77 2.98 2.67 2.98 4.22 2.98 1.89 1.33 1.89 4.0 2.67 1.33 99999 1.33 4.22 2.98 1.89 1.33 1.89 4.81 3.77 2.98 2.67 2.98 
3.4 6.32 2.11 4.71 2.11 5.96 4.81 3.77 2.98 2.67 5.5 4.22 2.98 1.89 1.33 5.33 4.0 2.67 1.33 99999 5.5 4.22 2.98 1.89 1.33 5.96 4.81 3.77 2.98 2.67 
5.08 0.94 3.89 0.94 6.86 4.0 4.22 4.81 5.66 6.67 2.67 2.98 3.77 4.81 5.96 1.33 1.89 2.98 4.22 5.5 99999 1.33 2.67 4.0 5.33 1.33 1.89 2.98 4.22 5.5 
3.89 2.11 2.83 0.94 5.73 4.22 4.0 4.22 4.81 5.66 2.98 2.67 2.98 3.77 4.81 1.89 1.33 1.89 2.98 4.22 1.33 99999 1.33 2.67 4.0 1.89 1.33 1.89 2.98 4.22 
2.83 3.4 2.11 2.11 4.71 4.81 4.22 4.0 4.22 4.81 3.77 2.98 2.67 2.98 3.77 2.98 1.89 1.33 1.89 2.98 2.67 1.33 99999 1.33 2.67 2.98 1.89 1.33 1.89 2.98 
2.11 4.71 2.11 3.4 3.89 5.66 4.81 4.22 4.0 4.22 4.81 3.77 2.98 2.67 2.98 4.22 2.98 1.89 1.33 1.89 4.0 2.67 1.33 99999 1.33 4.22 2.98 1.89 1.33 1.89 
2.11 6.04 2.83 4.71 3.4 6.67 5.66 4.81 4.22 4.0 5.96 4.81 3.77 2.98 2.67 5.5 4.22 2.98 1.89 1.33 5.33 4.0 2.67 1.33 99999 5.5 4.22 2.98 1.89 1.33 
4.71 0.94 4.71 2.11 7.6 5.33 5.5 5.96 6.67 7.54 4.0 4.22 4.81 5.66 6.67 2.67 2.98 3.77 4.81 5.96 1.33 1.89 2.98 4.22 5.5 99999 1.33 2.67 4.0 5.33 
3.4 2.11 3.89 2.11 6.6 5.5 5.33 5.5 5.96 6.67 4.22 4.0 4.22 4.81 5.66 2.98 2.67 2.98 3.77 4.81 1.89 1.33 1.89 2.98 4.22 1.33 99999 1.33 2.67 4.0 
2.11 3.4 3.4 2.83 5.73 5.96 5.5 5.33 5.5 5.96 4.81 4.22 4.0 4.22 4.81 3.77 2.98 2.67 2.98 3.77 2.98 1.89 1.33 1.89 2.98 2.67 1.33 99999 1.33 2.67 
0.94 4.71 3.4 3.89 5.08 6.67 5.96 5.5 5.33 5.5 5.66 4.81 4.22 4.0 4.22 4.81 3.77 2.98 2.67 2.98 4.22 2.98 1.89 1.33 1.89 4.0 2.67 1.33 99999 1.33 
0.94 6.04 3.89 5.08 4.71 7.54 6.67 5.96 5.5 5.33 6.67 5.66 4.81 4.22 4.0 5.96 4.81 3.77 2.98 2.67 5.5 4.22 2.98 1.89 1.33 5.33 4.0 2.67 1.33 99999
