25 1 1 1 16
2 10 1 5
150 10 0 6

0 4 2 3 7 8
1 6 17 18 19 22 23 24
2 9 2 3 4 7 8 9 12 13 14
3 4 0 1 5 6
4 4 1 2 6 7
5 4 2 3 7 8
6 4 3 4 8 9
7 4 5 6 10 11
8 4 6 7 11 12
9 4 7 8 12 13
10 4 8 9 13 14
11 4 10 11 15 16
12 4 11 12 16 17
13 4 12 13 17 18
14 4 13 14 18 19
15 4 15 16 20 21
16 4 16 17 21 22
17 4 17 18 22 23
18 4 18 19 23 24

99999 6.72 2.36 2.64 1.18 1.18 2.64 3.54 2.64 2.64 3.54 4.86 4.25 4.25 4.86 6.35 5.89 5.89 6.35 
6.72 99999 5.07 6.72 6.07 5.83 6.07 5.34 4.49 4.17 4.49 4.17 3.0 2.5 3.0 3.44 1.86 0.83 1.86 
2.36 5.07 99999 4.25 2.64 1.18 1.18 4.25 2.64 1.18 1.18 4.86 3.54 2.64 2.64 5.89 4.86 4.25 4.25 
2.64 6.72 4.25 99999 1.67 3.33 5.0 1.67 2.36 3.73 5.27 3.33 3.73 4.71 6.01 5.0 5.27 6.01 7.07 
1.18 6.07 2.64 1.67 99999 1.67 3.33 2.36 1.67 2.36 3.73 3.73 3.33 3.73 4.71 5.27 5.0 5.27 6.01 
1.18 5.83 1.18 3.33 1.67 99999 1.67 3.73 2.36 1.67 2.36 4.71 3.73 3.33 3.73 6.01 5.27 5.0 5.27 
2.64 6.07 1.18 5.0 3.33 1.67 99999 5.27 3.73 2.36 1.67 6.01 4.71 3.73 3.33 7.07 6.01 5.27 5.0 
3.54 5.34 4.25 1.67 2.36 3.73 5.27 99999 1.67 3.33 5.0 1.67 2.36 3.73 5.27 3.33 3.73 4.71 6.01 
2.64 4.49 2.64 2.36 1.67 2.36 3.73 1.67 99999 1.67 3.33 2.36 1.67 2.36 3.73 3.73 3.33 3.73 4.71 
2.64 4.17 1.18 3.73 2.36 1.67 2.36 3.33 1.67 99999 1.67 3.73 2.36 1.67 2.36 4.71 3.73 3.33 3.73 
3.54 4.49 1.18 5.27 3.73 2.36 1.67 5.0 3.33 1.67 99999 5.27 3.73 2.36 1.67 6.01 4.71 3.73 3.33 
4.86 4.17 4.86 3.33 3.73 4.71 6.01 1.67 2.36 3.73 5.27 99999 1.67 3.33 5.0 1.67 2.36 3.73 5.27 
4.25 3.0 3.54 3.73 3.33 3.73 4.71 2.36 1.67 2.36 3.73 1.67 99999 1.67 3.33 2.36 1.67 2.36 3.73 
4.25 2.5 2.64 4.71 3.73 3.33 3.73 3.73 2.36 1.67 2.36 3.33 1.67 99999 1.67 3.73 2.36 1.67 2.36 
4.86 3.0 2.64 6.01 4.71 3.73 3.33 5.27 3.73 2.36 1.67 5.0 3.33 1.67 99999 5.27 3.73 2.36 1.67 
6.35 3.44 5.89 5.0 5.27 6.01 7.07 3.33 3.73 4.71 6.01 1.67 2.36 3.73 5.27 99999 1.67 3.33 5.0 
5.89 1.86 4.86 5.27 5.0 5.27 6.01 3.73 3.33 3.73 4.71 2.36 1.67 2.36 3.73 1.67 99999 1.67 3.33 
5.89 0.83 4.25 6.01 5.27 5.0 5.27 4.71 3.73 3.33 3.73 3.73 2.36 1.67 2.36 3.33 1.67 99999 1.67 
6.35 1.86 4.25 7.07 6.01 5.27 5.0 6.01 4.71 3.73 3.33 5.27 3.73 2.36 1.67 5.0 3.33 1.67 99999
