25 1 0 1 16
2 15 1 5
150 10 0 6

0 4 0 1 5 6
1 8 3 4 7 8 9 12 13 14
2 4 0 1 5 6 
3 4 1 2 6 7 
4 4 2 3 7 8 
5 4 3 4 8 9 
6 4 5 6 10 11 
7 4 6 7 11 12 
8 4 7 8 12 13 
9 4 8 9 13 14 
10 4 10 11 15 16 
11 4 11 12 16 17 
12 4 12 13 17 18 
13 4 13 14 18 19 
14 4 15 16 20 21 
15 4 16 17 21 22 
16 4 17 18 22 23 
17 4 18 19 23 24 

99999 3.95 0.99 1.33 2.38 3.56 0.44 0.99 2.21 3.45 1.59 1.82 2.69 3.78 2.83 2.96 3.56 4.44 
3.95 99999 4.07 2.83 1.59 0.44 4.35 3.22 2.21 1.59 4.94 3.98 3.22 2.83 5.75 4.94 4.35 4.07 
0.99 4.07 99999 1.25 2.5 3.75 1.25 1.77 2.8 3.95 2.5 2.8 3.54 4.51 3.75 3.95 4.51 5.3 
1.33 2.83 1.25 99999 1.25 2.5 1.77 1.25 1.77 2.8 2.8 2.5 2.8 3.54 3.95 3.75 3.95 4.51 
2.38 1.59 2.5 1.25 99999 1.25 2.8 1.77 1.25 1.77 3.54 2.8 2.5 2.8 4.51 3.95 3.75 3.95 
3.56 0.44 3.75 2.5 1.25 99999 3.95 2.8 1.77 1.25 4.51 3.54 2.8 2.5 5.3 4.51 3.95 3.75 
0.44 4.35 1.25 1.77 2.8 3.95 99999 1.25 2.5 3.75 1.25 1.77 2.8 3.95 2.5 2.8 3.54 4.51 
0.99 3.22 1.77 1.25 1.77 2.8 1.25 99999 1.25 2.5 1.77 1.25 1.77 2.8 2.8 2.5 2.8 3.54 
2.21 2.21 2.8 1.77 1.25 1.77 2.5 1.25 99999 1.25 2.8 1.77 1.25 1.77 3.54 2.8 2.5 2.8 
3.45 1.59 3.95 2.8 1.77 1.25 3.75 2.5 1.25 99999 3.95 2.8 1.77 1.25 4.51 3.54 2.8 2.5 
1.59 4.94 2.5 2.8 3.54 4.51 1.25 1.77 2.8 3.95 99999 1.25 2.5 3.75 1.25 1.77 2.8 3.95 
1.82 3.98 2.8 2.5 2.8 3.54 1.77 1.25 1.77 2.8 1.25 99999 1.25 2.5 1.77 1.25 1.77 2.8 
2.69 3.22 3.54 2.8 2.5 2.8 2.8 1.77 1.25 1.77 2.5 1.25 99999 1.25 2.8 1.77 1.25 1.77 
3.78 2.83 4.51 3.54 2.8 2.5 3.95 2.8 1.77 1.25 3.75 2.5 1.25 99999 3.95 2.8 1.77 1.25 
2.83 5.75 3.75 3.95 4.51 5.3 2.5 2.8 3.54 4.51 1.25 1.77 2.8 3.95 99999 1.25 2.5 3.75 
2.96 4.94 3.95 3.75 3.95 4.51 2.8 2.5 2.8 3.54 1.77 1.25 1.77 2.8 1.25 99999 1.25 2.5 
3.56 4.35 4.51 3.95 3.75 3.95 3.54 2.8 2.5 2.8 2.8 1.77 1.25 1.77 2.5 1.25 99999 1.25 
4.44 4.07 5.3 4.51 3.95 3.75 4.51 3.54 2.8 2.5 3.95 2.8 1.77 1.25 3.75 2.5 1.25 99999 
