64 5 1 3 49
2 15 1 5
150 20 0 6

0 4 32 33 40 41
1 4 27 28 35 36
2 4 51 52 59 60
3 4 34 35 42 43
4 4 16 17 24 25
5 6 37 38 45 46 53 54
6 7 40 41 48 49 56 57 58
7 8 6 12 13 14 20 21 22 30
8 6 2 3 4 10 11 12
9 4 0 1 8 9 
10 4 1 2 9 10 
11 4 2 3 10 11 
12 4 3 4 11 12 
13 4 4 5 12 13 
14 4 5 6 13 14 
15 4 6 7 14 15 
16 4 8 9 16 17 
17 4 9 10 17 18 
18 4 10 11 18 19 
19 4 11 12 19 20 
20 4 12 13 20 21 
21 4 13 14 21 22 
22 4 14 15 22 23 
23 4 16 17 24 25 
24 4 17 18 25 26 
25 4 18 19 26 27 
26 4 19 20 27 28 
27 4 20 21 28 29 
28 4 21 22 29 30 
29 4 22 23 30 31 
30 4 24 25 32 33 
31 4 25 26 33 34 
32 4 26 27 34 35 
33 4 27 28 35 36 
34 4 28 29 36 37 
35 4 29 30 37 38 
36 4 30 31 38 39 
37 4 32 33 40 41 
38 4 33 34 41 42 
39 4 34 35 42 43 
40 4 35 36 43 44 
41 4 36 37 44 45 
42 4 37 38 45 46 
43 4 38 39 46 47 
44 4 40 41 48 49 
45 4 41 42 49 50 
46 4 42 43 50 51 
47 4 43 44 51 52 
48 4 44 45 52 53 
49 4 45 46 53 54 
50 4 46 47 54 55 
51 4 48 49 56 57 
52 4 49 50 57 58 
53 4 50 51 58 59 
54 4 51 52 59 60 
55 4 52 53 60 61 
56 4 53 54 61 62 
57 4 54 55 62 63 

99999 2.11 2.12 1.18 1.18 3.21 1.84 3.95 2.92 2.51 2.55 2.76 3.1 3.54 4.03 4.58 1.84 1.9 2.17 2.59 3.1 3.66 4.25 1.18 1.27 1.65 2.17 2.76 3.37 4.01 0.53 0.71 1.27 1.9 2.55 3.21 3.87 0.24 0.53 1.18 1.84 2.51 3.17 3.84 0.85 0.97 1.43 2.01 2.64 3.27 3.92 1.51 1.58 1.9 2.37 2.92 3.5 4.12 
2.11 99999 2.22 0.97 1.9 1.65 3.31 1.9 1.9 2.84 2.37 2.01 1.84 1.9 2.17 2.59 2.46 1.9 1.43 1.18 1.27 1.65 2.17 2.22 1.58 0.97 0.53 0.71 1.27 1.9 2.17 1.51 0.85 0.24 0.53 1.18 1.84 2.32 1.72 1.18 0.85 0.97 1.43 2.01 2.64 2.12 1.72 1.51 1.58 1.9 2.37 3.06 2.64 2.32 2.17 2.22 2.46 2.84 
2.12 2.22 99999 1.7 2.98 1.94 1.7 3.89 4.0 4.33 4.12 4.01 4.01 4.12 4.33 4.63 3.73 3.48 3.35 3.35 3.48 3.73 4.07 3.14 2.85 2.69 2.69 2.85 3.14 3.54 2.6 2.24 2.03 2.03 2.24 2.6 3.07 2.13 1.67 1.37 1.37 1.67 2.13 2.69 1.8 1.2 0.75 0.75 1.2 1.8 2.43 1.67 1.0 0.33 0.33 1.0 1.67 2.33 
1.18 0.97 1.7 99999 1.41 2.11 2.4 2.87 2.36 2.69 2.43 2.33 2.43 2.69 3.07 3.54 2.13 1.8 1.67 1.8 2.13 2.6 3.14 1.67 1.2 1.0 1.2 1.67 2.24 2.85 1.37 0.75 0.33 0.75 1.37 2.03 2.69 1.37 0.75 0.33 0.75 1.37 2.03 2.69 1.67 1.2 1.0 1.2 1.67 2.24 2.85 2.13 1.8 1.67 1.8 2.13 2.6 3.14 
1.18 1.9 2.98 1.41 99999 3.43 3.02 3.4 1.89 1.37 1.37 1.67 2.13 2.69 3.28 3.9 0.75 0.75 1.2 1.8 2.43 3.07 3.73 0.33 0.33 1.0 1.67 2.33 3.0 3.67 0.75 0.75 1.2 1.8 2.43 3.07 3.73 1.37 1.37 1.67 2.13 2.69 3.28 3.9 2.03 2.03 2.24 2.6 3.07 3.61 4.18 2.69 2.69 2.85 3.14 3.54 4.01 4.53 
3.21 1.65 1.94 2.11 3.43 99999 3.59 2.36 3.43 4.48 4.01 3.61 3.28 3.07 3.0 3.07 4.07 3.54 3.07 2.69 2.43 2.33 2.43 3.73 3.14 2.6 2.13 1.8 1.67 1.8 3.48 2.85 2.24 1.67 1.2 1.0 1.2 3.35 2.69 2.03 1.37 0.75 0.33 0.75 3.35 2.69 2.03 1.37 0.75 0.33 0.75 3.48 2.85 2.24 1.67 1.2 1.0 1.2 
1.84 3.31 1.7 2.4 3.02 3.59 99999 5.19 4.64 4.33 4.38 4.53 4.77 5.09 5.47 5.9 3.67 3.73 3.9 4.18 4.53 4.96 5.43 3.0 3.07 3.28 3.61 4.01 4.48 5.0 2.33 2.43 2.69 3.07 3.54 4.07 4.63 1.67 1.8 2.13 2.6 3.14 3.73 4.33 1.0 1.2 1.67 2.24 2.85 3.48 4.12 0.33 0.75 1.37 2.03 2.69 3.35 4.01 
3.95 1.9 3.89 2.87 3.4 2.36 5.19 99999 2.11 3.73 3.07 2.43 1.8 1.2 0.75 0.75 3.67 3.0 2.33 1.67 1.0 0.33 0.33 3.73 3.07 2.43 1.8 1.2 0.75 0.75 3.9 3.28 2.69 2.13 1.67 1.37 1.37 4.18 3.61 3.07 2.6 2.24 2.03 2.03 4.53 4.01 3.54 3.14 2.85 2.69 2.69 4.96 4.48 4.07 3.73 3.48 3.35 3.35 
2.92 1.9 4.0 2.36 1.89 3.43 4.64 2.11 99999 1.67 1.0 0.33 0.33 1.0 1.67 2.33 1.8 1.2 0.75 0.75 1.2 1.8 2.43 2.13 1.67 1.37 1.37 1.67 2.13 2.69 2.6 2.24 2.03 2.03 2.24 2.6 3.07 3.14 2.85 2.69 2.69 2.85 3.14 3.54 3.73 3.48 3.35 3.35 3.48 3.73 4.07 4.33 4.12 4.01 4.01 4.12 4.33 4.63 
2.51 2.84 4.33 2.69 1.37 4.48 4.33 3.73 1.67 99999 0.67 1.33 2.0 2.67 3.33 4.0 0.67 0.94 1.49 2.11 2.75 3.4 4.06 1.33 1.49 1.89 2.4 2.98 3.59 4.22 2.0 2.11 2.4 2.83 3.33 3.89 4.47 2.67 2.75 2.98 3.33 3.77 4.27 4.81 3.33 3.4 3.59 3.89 4.27 4.71 5.21 4.0 4.06 4.22 4.47 4.81 5.21 5.66 
