100 3 1 6 81
2 25 1 5
150 20 0 6

0 6 3 4 5 13 14 15 
1 6 8 9 18 19 28 29 
2 6 80 81 82 90 91 92
3 6 60 61 70 71 80 81 
5 9 31 32 33 41 42 43 51 52 53 
5 9 0 1 2 10 11 12 20 21 22 
6 9 3 4 5 13 14 15 23 24 25 
7 9 63 64 65 73 74 75 83 84 85 
8 9 70 71 72 80 81 82 90 91 92 
9 9 57 58 59 67 68 69 77 78 79 
10 4 0 1 10 11 
11 4 1 2 11 12 
12 4 2 3 12 13 
13 4 3 4 13 14 
14 4 4 5 14 15 
15 4 5 6 15 16 
16 4 6 7 16 17 
17 4 7 8 17 18 
18 4 8 9 18 19 
19 4 10 11 20 21 
20 4 11 12 21 22 
21 4 12 13 22 23 
22 4 13 14 23 24 
23 4 14 15 24 25 
24 4 15 16 25 26 
25 4 16 17 26 27 
26 4 17 18 27 28 
27 4 18 19 28 29 
28 4 20 21 30 31 
29 4 21 22 31 32 
30 4 22 23 32 33 
31 4 23 24 33 34 
32 4 24 25 34 35 
33 4 25 26 35 36 
34 4 26 27 36 37 
35 4 27 28 37 38 
36 4 28 29 38 39 
37 4 30 31 40 41 
38 4 31 32 41 42 
39 4 32 33 42 43 
40 4 33 34 43 44 
41 4 34 35 44 45 
42 4 35 36 45 46 
43 4 36 37 46 47 
44 4 37 38 47 48 
45 4 38 39 48 49 
46 4 40 41 50 51 
47 4 41 42 51 52 
48 4 42 43 52 53 
49 4 43 44 53 54 
50 4 44 45 54 55 
51 4 45 46 55 56 
52 4 46 47 56 57 
53 4 47 48 57 58 
54 4 48 49 58 59 
55 4 50 51 60 61 
56 4 51 52 61 62 
57 4 52 53 62 63 
58 4 53 54 63 64 
59 4 54 55 64 65 
60 4 55 56 65 66 
61 4 56 57 66 67 
62 4 57 58 67 68 
63 4 58 59 68 69 
64 4 60 61 70 71 
65 4 61 62 71 72 
66 4 62 63 72 73 
67 4 63 64 73 74 
68 4 64 65 74 75 
69 4 65 66 75 76 
70 4 66 67 76 77 
71 4 67 68 77 78 
72 4 68 69 78 79 
73 4 70 71 80 81 
74 4 71 72 81 82 
75 4 72 73 82 83 
76 4 73 74 83 84 
77 4 74 75 84 85 
78 4 75 76 85 86 
79 4 76 77 86 87 
80 4 77 78 87 88 
81 4 78 79 88 89 
82 4 80 81 90 91 
83 4 81 82 91 92 
84 4 82 83 92 93 
85 4 83 84 93 94 
86 4 84 85 94 95 
87 4 85 86 95 96 
88 4 86 87 96 97 
89 4 87 88 97 98 
90 4 88 89 98 99 

99999 3.16 1 5.1 4.47 7.21 8.06 7 8.54 9.49 3.54 2.55 1.58 0.71 0.71 1.58 2.55 3.54 4.53 3.81 2.92 2.12 1.58 1.58 2.12 2.92 3.81 4.74 4.3 3.54 2.92 2.55 2.55 2.92 3.54 4.3 5.15 4.95 4.3 3.81 3.54 3.54 3.81 4.3 4.95 5.7 5.7 5.15 4.74 4.53 4.53 4.74 5.15 5.7 6.36 6.52 6.04 5.7 5.52 5.52 5.7 6.04 6.52 7.11 7.38 6.96 6.67 6.52 6.52 6.67 6.96 7.38 7.91 8.28 7.91 7.65 7.52 7.52 7.65 7.91 8.28 8.75 9.19 8.86 8.63 8.51 8.51 8.63 8.86 9.19 9.62 
3.16 99999 3 8 3.16 8.6 6.08 6.71 7 8 0.71 0.71 1.58 2.55 3.54 4.53 5.52 6.52 7.52 0.71 0.71 1.58 2.55 3.54 4.53 5.52 6.52 7.52 1.58 1.58 2.12 2.92 3.81 4.74 5.7 6.67 7.65 2.55 2.55 2.92 3.54 4.3 5.15 6.04 6.96 7.91 3.54 3.54 3.81 4.3 4.95 5.7 6.52 7.38 8.28 4.53 4.53 4.74 5.15 5.7 6.36 7.11 7.91 8.75 5.52 5.52 5.7 6.04 6.52 7.11 7.78 8.51 9.3 6.52 6.52 6.67 6.96 7.38 7.91 8.51 9.19 9.92 7.52 7.52 7.65 7.91 8.28 8.75 9.3 9.92 10.61 
1 3 99999 5 3.61 6.4 7.21 6 7.62 8.54 3.54 2.55 1.58 0.71 0.71 1.58 2.55 3.54 4.53 3.54 2.55 1.58 0.71 0.71 1.58 2.55 3.54 4.53 3.81 2.92 2.12 1.58 1.58 2.12 2.92 3.81 4.74 4.3 3.54 2.92 2.55 2.55 2.92 3.54 4.3 5.15 4.95 4.3 3.81 3.54 3.54 3.81 4.3 4.95 5.7 5.7 5.15 4.74 4.53 4.53 4.74 5.15 5.7 6.36 6.52 6.04 5.7 5.52 5.52 5.7 6.04 6.52 7.11 7.38 6.96 6.67 6.52 6.52 6.67 6.96 7.38 7.91 8.28 7.91 7.65 7.52 7.52 7.65 7.91 8.28 8.75 
5.1 8 5 99999 7.62 5.1 10.82 7.81 10.63 11.31 8.51 7.52 6.52 5.52 4.53 3.54 2.55 1.58 0.71 8.51 7.52 6.52 5.52 4.53 3.54 2.55 1.58 0.71 8.63 7.65 6.67 5.7 4.74 3.81 2.92 2.12 1.58 8.86 7.91 6.96 6.04 5.15 4.3 3.54 2.92 2.55 9.19 8.28 7.38 6.52 5.7 4.95 4.3 3.81 3.54 9.62 8.75 7.91 7.11 6.36 5.7 5.15 4.74 4.53 10.12 9.3 8.51 7.78 7.11 6.52 6.04 5.7 5.52 10.7 9.92 9.19 8.51 7.91 7.38 6.96 6.67 6.52 11.34 10.61 9.92 9.3 8.75 8.28 7.91 7.65 7.52 
4.47 3.16 3.61 7.62 99999 6.32 3.61 3.61 4.12 5.1 3.81 3.54 3.54 3.81 4.3 4.95 5.7 6.52 7.38 2.92 2.55 2.55 2.92 3.54 4.3 5.15 6.04 6.96 2.12 1.58 1.58 2.12 2.92 3.81 4.74 5.7 6.67 1.58 0.71 0.71 1.58 2.55 3.54 4.53 5.52 6.52 1.58 0.71 0.71 1.58 2.55 3.54 4.53 5.52 6.52 2.12 1.58 1.58 2.12 2.92 3.81 4.74 5.7 6.67 2.92 2.55 2.55 2.92 3.54 4.3 5.15 6.04 6.96 3.81 3.54 3.54 3.81 4.3 4.95 5.7 6.52 7.38 4.74 4.53 4.53 4.74 5.15 5.7 6.36 7.11 7.91 
