49 5 0 5 36
2 15 1 5
150 10 0 6

0 4 37 38 44 45
1 4 36 37 43 44
2 4 24 25 31 32
3 4 7 8 14 15
4 4 1 2 8 9
5 9 24 25 26 31 32 33 38 39 40
6 4 5 6 12 13
7 9 22 23 24 29 30 31 36 37 38
8 9 11 12 13 18 19 20 25 26 27
9 9 3 4 5 10 11 12 17 18 19
10 4 0 1 7 8
11 4 1 2 8 9
12 4 2 3 9 10
13 4 3 4 10 11
14 4 4 5 11 12
15 4 5 6 12 13
16 4 7 8 14 15
17 4 8 9 15 16
18 4 9 10 16 17
19 4 10 11 17 18
20 4 11 12 18 19
21 4 12 13 19 20
22 4 14 15 21 22
23 4 15 16 22 23
24 4 16 17 23 24
25 4 17 18 24 25
26 4 18 19 25 26
27 4 19 20 26 27
28 4 21 22 28 29
29 4 22 23 29 30
30 4 23 24 30 31
31 4 24 25 31 32
32 4 25 26 32 33
33 4 26 27 33 34
34 4 28 29 35 36
35 4 29 30 36 37
36 4 30 31 37 38
37 4 31 32 38 39
38 4 32 33 39 40
39 4 33 34 40 41
40 4 35 36 42 43
41 4 36 37 43 44
42 4 37 38 44 45
43 4 38 39 45 46
44 4 39 40 46 47
45 4 40 41 47 48

99999 2.11 4.06 7.45 7.8 2.83 8.94 2.75 5.37 6.15 7.8 7.45 7.33 7.45 7.8 8.35 6.57 6.15 6.0 6.15 6.57 7.21 5.37 4.85 4.67 4.85 5.37 6.15 4.27 3.59 3.33 3.59 4.27 5.21 3.33 2.4 2.0 2.4 3.33 4.47 2.75 1.49 0.67 1.49 2.75 4.06 
2.11 99999 4.27 6.15 6.7 4.22 9.48 2.4 6.15 6.29 6.7 6.7 6.96 7.45 8.14 8.97 5.37 5.37 5.7 6.29 7.09 8.03 4.06 4.06 4.47 5.21 6.15 7.21 2.75 2.75 3.33 4.27 5.37 6.57 1.49 1.49 2.4 3.59 4.85 6.15 0.67 0.67 2.0 3.33 4.67 6.0 
4.06 4.27 99999 4.81 4.71 2.4 5.21 1.89 2.11 2.11 4.71 3.89 3.4 3.4 3.89 4.71 3.89 2.83 2.11 2.11 2.83 3.89 3.4 2.11 0.94 0.94 2.11 3.4 3.4 2.11 0.94 0.94 2.11 3.4 3.89 2.83 2.11 2.11 2.83 3.89 4.71 3.89 3.4 3.4 3.89 4.71 
7.45 6.15 4.81 99999 0.94 7.09 7.45 4.81 6.32 4.71 0.94 2.11 3.4 4.71 6.04 7.36 0.94 2.11 3.4 4.71 6.04 7.36 2.11 2.83 3.89 5.08 6.32 7.6 3.4 3.89 4.71 5.73 6.86 8.06 4.71 5.08 5.73 6.6 7.6 8.69 6.04 6.32 6.86 7.6 8.49 9.48 
7.8 6.7 4.71 0.94 99999 7.09 6.7 5.08 5.96 4.22 0.0 1.33 2.67 4.0 5.33 6.67 1.33 1.89 2.98 4.22 5.5 6.8 2.67 2.98 3.77 4.81 5.96 7.18 4.0 4.22 4.81 5.66 6.67 7.77 5.33 5.5 5.96 6.67 7.54 8.54 6.67 6.8 7.18 7.77 8.54 9.43 
2.83 4.22 2.4 7.09 7.09 99999 6.32 2.75 2.75 4.06 7.09 6.29 5.7 5.37 5.37 5.7 6.15 5.21 4.47 4.06 4.06 4.47 5.37 4.27 3.33 2.75 2.75 3.33 4.85 3.59 2.4 1.49 1.49 2.4 4.67 3.33 2.0 0.67 0.67 2.0 4.85 3.59 2.4 1.49 1.49 2.4 
8.94 9.48 5.21 7.45 6.7 6.32 99999 7.09 3.59 3.33 6.7 5.37 4.06 2.75 1.49 0.67 6.96 5.7 4.47 3.33 2.4 2.0 7.45 6.29 5.21 4.27 3.59 3.33 8.14 7.09 6.15 5.37 4.85 4.67 8.97 8.03 7.21 6.57 6.15 6.0 9.91 9.07 8.35 7.8 7.45 7.33 
2.75 2.4 1.89 4.81 5.08 2.75 7.09 99999 3.89 3.89 5.08 4.71 4.71 5.08 5.73 6.6 3.89 3.4 3.4 3.89 4.71 5.73 2.83 2.11 2.11 2.83 3.89 5.08 2.11 0.94 0.94 2.11 3.4 4.71 2.11 0.94 0.94 2.11 3.4 4.71 2.83 2.11 2.11 2.83 3.89 5.08 
5.37 6.15 2.11 6.32 5.96 2.75 3.59 3.89 99999 1.89 5.96 4.81 3.77 2.98 2.67 2.98 5.5 4.22 2.98 1.89 1.33 1.89 5.33 4.0 2.67 1.33 0.0 1.33 5.5 4.22 2.98 1.89 1.33 1.89 5.96 4.81 3.77 2.98 2.67 2.98 6.67 5.66 4.81 4.22 4.0 4.22 
6.15 6.29 2.11 4.71 4.22 4.06 3.33 3.89 1.89 99999 4.22 2.98 1.89 1.33 1.89 2.98 4.0 2.67 1.33 0.0 1.33 2.67 4.22 2.98 1.89 1.33 1.89 2.98 4.81 3.77 2.98 2.67 2.98 3.77 5.66 4.81 4.22 4.0 4.22 4.81 6.67 5.96 5.5 5.33 5.5 5.96 
