40 2 0 1 28
2 15 1 5
150 20 0 6

0 6 2 3 4 7 8 9 
1 6 25 26 30 31 35 36 
2 9 22 23 24 27 28 29 32 33 34 
3 4 0 1 5 6 
4 4 1 2 6 7 
5 4 2 3 7 8 
6 4 3 4 8 9 
7 4 5 6 10 11 
8 4 6 7 11 12 
9 4 7 8 12 13 
10 4 8 9 13 14 
11 4 10 11 15 16 
12 4 11 12 16 17 
13 4 12 13 17 18 
14 4 13 14 18 19 
15 4 15 16 20 21 
16 4 16 17 21 22 
17 4 17 18 22 23 
18 4 18 19 23 24 
19 4 20 21 25 26 
20 4 21 22 26 27 
21 4 22 23 27 28 
22 4 23 24 28 29 
23 4 25 26 30 31 
24 4 26 27 31 32 
25 4 27 28 32 33 
26 4 28 29 33 34 
27 4 30 31 35 36 
28 4 31 32 36 37 
29 4 32 33 37 38 
30 4 33 34 38 39

99999 5 6.71 2.55 1.58 0.71 0.71 2.92 2.12 1.58 1.58 3.54 2.92 2.55 2.55 4.3 3.81 3.54 3.54 5.15 4.74 4.53 4.53 6.04 5.7 5.52 5.52 6.96 6.67 6.52 6.52 
5 99999 3.16 5.15 4.74 4.53 4.53 4.3 3.81 3.54 3.54 3.54 2.92 2.55 2.55 2.92 2.12 1.58 1.58 2.55 1.58 0.71 0.71 2.55 1.58 0.71 0.71 2.92 2.12 1.58 1.58 
6.71 3.16 99999 5.52 5.7 6.04 6.52 4.53 4.74 5.15 5.7 3.54 3.81 4.3 4.95 2.55 2.92 3.54 4.3 1.58 2.12 2.92 3.81 0.71 1.58 2.55 3.54 0.71 1.58 2.55 3.54 
2.55 5.15 5.52 99999 1 2 3 1 1.41 2.24 3.16 2 2.24 2.83 3.61 3 3.16 3.61 4.24 4 4.12 4.47 5 5 5.1 5.39 5.83 6 6.08 6.32 6.71 
1.58 4.74 5.7 1 99999 1 2 1.41 1 1.41 2.24 2.24 2 2.24 2.83 3.16 3 3.16 3.61 4.12 4 4.12 4.47 5.1 5 5.1 5.39 6.08 6 6.08 6.32 
0.71 4.53 6.04 2 1 99999 1 2.24 1.41 1 1.41 2.83 2.24 2 2.24 3.61 3.16 3 3.16 4.47 4.12 4 4.12 5.39 5.1 5 5.1 6.32 6.08 6 6.08 
0.71 4.53 6.52 3 2 1 99999 3.16 2.24 1.41 1 3.61 2.83 2.24 2 4.24 3.61 3.16 3 5 4.47 4.12 4 5.83 5.39 5.1 5 6.71 6.32 6.08 6 
2.92 4.3 4.53 1 1.41 2.24 3.16 99999 1 2 3 1 1.41 2.24 3.16 2 2.24 2.83 3.61 3 3.16 3.61 4.24 4 4.12 4.47 5 5 5.1 5.39 5.83 
2.12 3.81 4.74 1.41 1 1.41 2.24 1 99999 1 2 1.41 1 1.41 2.24 2.24 2 2.24 2.83 3.16 3 3.16 3.61 4.12 4 4.12 4.47 5.1 5 5.1 5.39 
1.58 3.54 5.15 2.24 1.41 1 1.41 2 1 99999 1 2.24 1.41 1 1.41 2.83 2.24 2 2.24 3.61 3.16 3 3.16 4.47 4.12 4 4.12 5.39 5.1 5 5.1 
1.58 3.54 5.7 3.16 2.24 1.41 1 3 2 1 99999 3.16 2.24 1.41 1 3.61 2.83 2.24 2 4.24 3.61 3.16 3 5 4.47 4.12 4 5.83 5.39 5.1 5 
3.54 3.54 3.54 2 2.24 2.83 3.61 1 1.41 2.24 3.16 99999 1 2 3 1 1.41 2.24 3.16 2 2.24 2.83 3.61 3 3.16 3.61 4.24 4 4.12 4.47 5 
2.92 2.92 3.81 2.24 2 2.24 2.83 1.41 1 1.41 2.24 1 99999 1 2 1.41 1 1.41 2.24 2.24 2 2.24 2.83 3.16 3 3.16 3.61 4.12 4 4.12 4.47 
2.55 2.55 4.3 2.83 2.24 2 2.24 2.24 1.41 1 1.41 2 1 99999 1 2.24 1.41 1 1.41 2.83 2.24 2 2.24 3.61 3.16 3 3.16 4.47 4.12 4 4.12 
2.55 2.55 4.95 3.61 2.83 2.24 2 3.16 2.24 1.41 1 3 2 1 99999 3.16 2.24 1.41 1 3.61 2.83 2.24 2 4.24 3.61 3.16 3 5 4.47 4.12 4 
4.3 2.92 2.55 3 3.16 3.61 4.24 2 2.24 2.83 3.61 1 1.41 2.24 3.16 99999 1 2 3 1 1.41 2.24 3.16 2 2.24 2.83 3.61 3 3.16 3.61 4.24 
3.81 2.12 2.92 3.16 3 3.16 3.61 2.24 2 2.24 2.83 1.41 1 1.41 2.24 1 99999 1 2 1.41 1 1.41 2.24 2.24 2 2.24 2.83 3.16 3 3.16 3.61 
