36 2 1 1 25
2 10 1 5
150 20 0 6

0 4 12 13 18 19 
1 4 4 5 10 11
2 7 3 8 9 14 15 20 21 
3 7 27 28 29 32 33 34 35
4 4 0 1 6 7 
5 4 1 2 7 8 
6 4 2 3 8 9 
7 4 3 4 9 10 
8 4 4 5 10 11 
9 4 6 7 12 13 
10 4 7 8 13 14 
11 4 8 9 14 15 
12 4 9 10 15 16 
13 4 10 11 16 17 
14 4 12 13 18 19 
15 4 13 14 19 20 
16 4 14 15 20 21 
17 4 15 16 21 22 
18 4 16 17 22 23 
19 4 18 19 24 25 
20 4 19 20 25 26 
21 4 20 21 26 27 
22 4 21 22 27 28 
23 4 22 23 28 29 
24 4 24 25 30 31 
25 4 25 26 31 32 
26 4 26 27 32 33 
27 4 27 28 33 34 
28 4 28 29 34 35 

99999 6.32 6.36 3.54 3.54 3.81 4.95 6.52 8.28 1.58 2.12 3.81 5.7 7.65 0.71 1.58 3.54 5.52 7.52 2.55 2.92 4.3 6.04 7.91 4.53 4.74 5.7 7.11 8.75 
6.32 99999 6.67 2.92 6.67 4.74 2.92 1.58 2.12 6.52 4.53 2.55 0.71 1.58 6.96 5.15 3.54 2.55 2.92 7.91 6.36 5.15 4.53 4.74 9.19 7.91 6.96 6.52 6.67 
6.36 6.67 99999 5.1 9.43 8.54 8.06 8.06 8.54 7.81 6.71 6.08 6.08 6.71 6.4 5.0 4.12 4.12 5.0 5.39 3.61 2.24 2.24 3.61 5.0 3.0 1.0 1.0 3.0 
3.54 2.92 5.1 99999 5.0 3.61 3.0 3.61 5.0 4.12 2.24 1.0 2.24 4.12 4.12 2.24 1.0 2.24 4.12 5.0 3.61 3.0 3.61 5.0 6.4 5.39 5.0 5.39 6.4 
3.54 6.67 9.43 5.0 99999 2.0 4.0 6.0 8.0 2.0 2.83 4.47 6.32 8.25 4.0 4.47 5.66 7.21 8.94 6.0 6.32 7.21 8.49 10.0 8.0 8.25 8.94 10.0 11.31 
3.81 4.74 8.54 3.61 2.0 99999 2.0 4.0 6.0 2.83 2.0 2.83 4.47 6.32 4.47 4.0 4.47 5.66 7.21 6.32 6.0 6.32 7.21 8.49 8.25 8.0 8.25 8.94 10.0 
4.95 2.92 8.06 3.0 4.0 2.0 99999 2.0 4.0 4.47 2.83 2.0 2.83 4.47 5.66 4.47 4.0 4.47 5.66 7.21 6.32 6.0 6.32 7.21 8.94 8.25 8.0 8.25 8.94 
6.52 1.58 8.06 3.61 6.0 4.0 2.0 99999 2.0 6.32 4.47 2.83 2.0 2.83 7.21 5.66 4.47 4.0 4.47 8.49 7.21 6.32 6.0 6.32 10.0 8.94 8.25 8.0 8.25 
8.28 2.12 8.54 5.0 8.0 6.0 4.0 2.0 99999 8.25 6.32 4.47 2.83 2.0 8.94 7.21 5.66 4.47 4.0 10.0 8.49 7.21 6.32 6.0 11.31 10.0 8.94 8.25 8.0 
1.58 6.52 7.81 4.12 2.0 2.83 4.47 6.32 8.25 99999 2.0 4.0 6.0 8.0 2.0 2.83 4.47 6.32 8.25 4.0 4.47 5.66 7.21 8.94 6.0 6.32 7.21 8.49 10.0 
2.12 4.53 6.71 2.24 2.83 2.0 2.83 4.47 6.32 2.0 99999 2.0 4.0 6.0 2.83 2.0 2.83 4.47 6.32 4.47 4.0 4.47 5.66 7.21 6.32 6.0 6.32 7.21 8.49 
3.81 2.55 6.08 1.0 4.47 2.83 2.0 2.83 4.47 4.0 2.0 99999 2.0 4.0 4.47 2.83 2.0 2.83 4.47 5.66 4.47 4.0 4.47 5.66 7.21 6.32 6.0 6.32 7.21 
